RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
31,Freddie Freeman,ATL,573,111,172,33,2,38,117,6,3,81,120,.300,.392,.564,.956,4.5
137,Freddy Galvis,TOR/CIN,557,67,145,28,1,23,70,4,2,28,145,.260,.296,.438,.734,1.6
73,Garrett Cooper,MIA,381,52,107,16,1,15,50,0,0,33,110,.281,.344,.446,.791,1.4
228,Gary Sanchez,NYY,390,62,91,12,1,34,77,0,1,40,121,.233,.318,.531,.849,3.2
42,George Springer,HOU,446,88,131,19,3,35,89,5,2,61,107,.294,.383,.585,.968,5.6
8,Gio Urshela,NYY,412,69,134,34,0,20,72,1,1,22,76,.325,.362,.553,.915,3.5
65,Gleyber Torres,NYY,518,94,147,24,0,37,87,5,2,48,120,.284,.344,.544,.889,4.2
201,Greg Garcia,SD,280,48,68,12,4,4,30,0,2,47,77,.243,.359,.357,.716,1.2
15,Hanser Alberto,BAL,484,58,153,21,2,11,48,4,3,15,47,.316,.339,.436,.775,0.0
22,Harold Castro,DET,318,29,97,9,3,5,38,4,2,9,77,.305,.320,.399,.720,0.3
 ,Harold Ramirez,MIA,375,49,101,18,2,10,46,2,0,16,82,.269,.307,.408,.715,0.0
252,Harrison Bader,STL,300,49,64,13,3,10,35,10,3,42,96,.213,.326,.377,.702,2.1
2,Howie Kendrick,WSH,304,54,102,23,0,15,60,2,1,24,46,.336,.386,.559,.945,2.1
54,Hunter Dozier,KC,474,71,136,26,9,26,82,2,2,53,128,.287,.360,.544,.904,2.4
33,Hunter Pence,TEX,286,53,85,17,1,18,59,6,1,26,69,.297,.358,.552,.910,1.7
241,Hunter Renfroe,SD,414,60,92,19,1,31,62,5,0,41,143,.222,.290,.498,.788,2.7
165,Ian Desmond,COL,419,61,106,31,3,17,61,3,3,34,114,.253,.311,.463,.774,-1.9
21,J.D. Davis,NYM,376,59,115,19,1,19,52,3,0,36,91,.306,.369,.513,.883,0.8
26,J.D. Martinez,BOS,539,93,163,33,2,35,97,1,0,68,125,.302,.381,.566,.947,3.1
225,J.P. Crawford,SEA,303,39,71,20,4,6,40,5,3,38,75,.234,.319,.386,.705,0.9
88,J.T. Realmuto,PHI,520,89,144,34,3,25,82,8,1,40,121,.277,.329,.498,.827,4.5
222,JaCoby Jones,DET,298,39,70,19,3,11,26,7,2,27,94,.235,.310,.430,.740,-0.0
244,Jackie Bradley Jr.,BOS,440,60,97,24,3,18,53,7,4,54,137,.220,.320,.411,.731,1.7
232,Jake Bauers,CLE,357,45,82,16,1,12,43,3,3,42,110,.230,.314,.381,.695,-0.6
 ,Jake Marisnick,HOU,276,46,66,16,2,10,34,10,3,17,91,.239,.298,.420,.718,1.5
99,James McCann,CHW,410,58,112,25,1,16,55,4,1,28,127,.273,.329,.456,.785,3.5
220,Jarrod Dyson,ARI,374,60,88,10,2,7,25,30,4,44,80,.235,.318,.329,.646,1.0
147,Jason Heyward,CHC,484,76,125,19,4,21,59,8,3,63,105,.258,.347,.444,.791,0.0
193,Jason Kipnis,CLE,458,52,112,23,1,17,65,7,2,40,88,.245,.304,.410,.715,0.5
71,Javier Baez,CHC,530,88,149,38,4,29,85,11,7,28,155,.281,.316,.532,.848,4.7
238,Jay Bruce,SEA/PHI,294,42,66,17,0,25,58,1,0,19,78,.224,.271,.537,.809,0.9
67,Jean Segura,PHI,540,77,153,35,4,12,57,10,2,29,72,.283,.328,.430,.757,1.7
11,Jeff McNeil,NYM,472,76,150,35,1,20,68,5,6,33,71,.318,.387,.523,.910,4.6
259,Jeimer Candelario,DET,311,32,61,14,2,7,27,3,1,38,91,.196,.298,.322,.619,0.0
112,Jesse Winker,CIN,338,51,91,17,2,16,38,0,2,38,60,.269,.357,.473,.830,0.8
212,Jesus Aguilar,MIL/TB,302,38,72,12,0,11,46,0,0,41,75,.238,.327,.387,.714,-0.2
146,Ji-Man Choi,TB,375,48,97,17,2,15,54,2,3,61,93,.259,.366,.435,.801,1.4
187,Joc Pederson,LAD,425,76,105,16,3,32,67,1,1,45,104,.247,.334,.525,.859,2.8
197,Joe Panik,NYM/SF,427,47,104,21,2,4,38,4,2,41,47,.244,.313,.330,.643,-0.5
115,Joey Votto,CIN,492,75,132,29,1,15,46,5,0,67,111,.268,.359,.423,.781,1.9
250,John Hicks,DET,303,28,65,14,0,12,32,1,1,13,104,.215,.246,.380,.626,-0.2
206,Jonathan Lucroy,LAA/CHC,284,30,68,10,1,8,35,0,0,25,50,.239,.309,.366,.675,0.0
139,Jonathan Schoop,MIN,400,60,104,22,1,22,56,1,1,20,107,.260,.311,.485,.796,1.9
94,Jonathan Villar,BAL,584,101,161,31,5,21,67,35,8,58,160,.276,.342,.454,.796,0.0
119,Jorge Alfaro,MIA,397,41,106,13,1,15,48,3,4,20,145,.267,.314,.418,.732,0.0
29,Jorge Polanco,MIN,590,98,178,36,6,22,77,4,3,55,108,.302,.362,.495,.857,5.5
150,Jorge Soler,KC,545,84,140,28,1,44,108,2,1,66,164,.257,.346,.554,.900,2.9
66,Jose Abreu,CHW,582,78,165,35,0,33,117,2,2,35,141,.284,.331,.514,.845,2.5
27,Jose Altuve,HOU,460,86,139,25,3,28,67,6,5,40,77,.302,.360,.552,.912,3.5
59,Jose Iglesias,CIN,469,58,134,18,3,11,53,5,6,16,66,.286,.312,.407,.719,1.2
117,Jose Martinez,STL,321,43,86,12,0,10,40,3,0,35,75,.268,.342,.399,.740,-0.4
226,Jose Peraza,CIN,333,34,78,14,2,6,33,5,5,14,55,.234,.280,.342,.622,-0.7
161,Jose Ramirez,CLE,473,65,120,33,3,20,75,24,4,51,73,.254,.325,.463,.788,3.0
87,Josh Bell,PIT,527,94,146,37,3,37,116,0,1,74,118,.277,.367,.569,.936,3.1
132,Josh Donaldson,ATL,519,94,136,30,0,37,88,4,2,96,149,.262,.384,.534,.917,5.8
