RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
186,J.A. Happ,NYY,29,29,151.0,152,85,85,48,130,12,8,0,0,0.9,1.32,5.07
29,Jack Flaherty,STL,30,30,174.1,129,61,59,51,206,10,8,0,0,4.5,1.03,3.05
161,Jacob Waguespack,TOR,14,11,67.0,67,40,35,26,52,4,5,0,0,0.6,1.39,4.70
13,Jacob deGrom,NYM,30,30,190.0,148,59,55,43,239,9,8,0,0,6.3,1.01,2.61
218,Jaime Barria,LAA,17,11,75.2,80,52,50,25,70,4,9,0,0,-0.1,1.39,5.95
155,Jake Arrieta,PHI,24,24,135.2,149,76,70,51,110,8,8,0,0,0.9,1.47,4.64
60,Jake Odorizzi,MIN,28,28,147.1,130,62,59,51,162,14,6,0,0,3.1,1.23,3.60
192,Jakob Junis,KC,31,31,175.1,192,108,102,58,164,9,14,0,0,0.9,1.43,5.24
134,Jalen Beeks,TB,31,3,101.2,114,56,50,39,85,6,3,1,0,0.3,1.50,4.43
86,James Paxton,NYY,27,27,143.2,132,68,62,55,178,14,6,0,0,2.1,1.30,3.88
119,Jared Hughes,CIN/PHI,65,0,63.2,52,35,30,25,46,5,5,1,2,0.2,1.21,4.24
135,Jason Vargas,NYM/PHI,28,27,138.2,130,75,69,56,113,6,8,0,0,1.5,1.34,4.48
142,Javy Guerra,TOR/WSH,46,0,63.1,61,33,32,17,54,3,1,2,0,0.4,1.23,4.55
71,Jeff Samardzija,SF,30,30,169.1,145,77,70,44,133,10,12,0,0,2.2,1.12,3.72
171,Jesse Chavez,TEX,48,9,78.0,82,48,42,22,72,3,5,1,1,0.7,1.33,4.85
199,Jhoulys Chacin,BOS/MIL,22,21,94.1,101,61,57,42,87,3,10,0,0,-0.2,1.52,5.44
153,Joakim Soria,OAK,66,1,64.0,51,33,33,19,73,1,4,1,5,0.1,1.09,4.64
 ,Joe Biagini,TOR/HOU,61,0,63.2,71,34,33,24,59,3,1,1,2,0.5,1.49,4.66
140,Joe Musgrove,PIT,30,29,159.1,160,91,80,35,143,10,12,0,0,1.8,1.22,4.52
117,Joey Lucchesi,SD,28,28,153.2,135,74,72,52,145,10,8,0,0,1.7,1.22,4.22
32,John Brebbia,STL,61,0,68.2,52,26,24,23,83,3,3,0,1,1.0,1.09,3.15
58,John Gant,STL,60,0,64.1,48,27,25,31,57,10,1,3,3,0.8,1.23,3.50
66,John Means,BAL,29,25,143.0,126,64,58,35,112,10,11,0,0,4.1,1.13,3.65
82,Jon Gray,COL,26,25,150.0,147,70,64,56,150,11,8,0,0,4.7,1.35,3.84
148,Jon Lester,CHC,29,29,160.2,191,98,82,50,156,13,10,0,0,0.9,1.50,4.59
120,Jordan Lyles,MIL/PIT,26,26,131.1,125,69,62,50,131,11,8,0,0,1.7,1.33,4.25
173,Jordan Yamamoto,MIA,13,13,68.1,47,40,37,30,69,4,5,0,0,0.6,1.13,4.87
228,Jordan Zimmermann,DET,21,21,104.0,127,74,73,23,74,1,11,0,0,0.3,1.44,6.32
222,Jorge Lopez,KC,36,15,109.1,122,81,74,40,102,4,7,1,1,-1.2,1.48,6.09
63,Jose Berrios,MIN,29,29,181.0,175,85,73,46,173,12,8,0,0,2.8,1.22,3.63
108,Jose Leclerc,TEX,65,3,63.2,47,30,29,36,93,2,4,13,4,1.4,1.30,4.10
