RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
